       0.100000000E+002       0.385844602E+001       0.382796934E+001       0.368365362E+001       0.313812936E+001       0.241034763E+001
       0.100001000E+002       0.385845445E+001       0.382797910E+001       0.368366763E+001       0.313814931E+001       0.241036438E+001
       0.100002000E+002       0.385846306E+001       0.382798886E+001       0.368368163E+001       0.313816926E+001       0.241038113E+001
       0.100003000E+002       0.385847167E+001       0.382799862E+001       0.368369563E+001       0.313818921E+001       0.241039788E+001
       0.100004000E+002       0.385848028E+001       0.382800838E+001       0.368370964E+001       0.313820917E+001       0.241041463E+001
       0.100005000E+002       0.385848888E+001       0.382801814E+001       0.368372364E+001       0.313822912E+001       0.241043138E+001
       0.100006000E+002       0.385849749E+001       0.382802790E+001       0.368373764E+001       0.313824907E+001       0.241044813E+001
       0.100007000E+002       0.385850610E+001       0.382803766E+001       0.368375164E+001       0.313826902E+001       0.241046487E+001
       0.100008000E+002       0.385851470E+001       0.382804742E+001       0.368376564E+001       0.313828897E+001       0.241048162E+001
       0.100009000E+002       0.385852331E+001       0.382805717E+001       0.368377964E+001       0.313830892E+001       0.241049837E+001
       0.100010000E+002       0.385853191E+001       0.382806693E+001       0.368379363E+001       0.313832886E+001       0.241051512E+001
       0.100011000E+002       0.385854052E+001       0.382807669E+001       0.368380763E+001       0.313834881E+001       0.241053187E+001
       0.100012000E+002       0.385854912E+001       0.382808644E+001       0.368382163E+001       0.313836876E+001       0.241054862E+001
       0.100013000E+002       0.385855773E+001       0.382809620E+001       0.368383562E+001       0.313838871E+001       0.241056537E+001
       0.100014000E+002       0.385856633E+001       0.382810595E+001       0.368384962E+001       0.313840866E+001       0.241058211E+001
       0.100015000E+002       0.385857493E+001       0.382811571E+001       0.368386361E+001       0.313842860E+001       0.241059886E+001
       0.100016000E+002       0.385858353E+001       0.382812546E+001       0.368387760E+001       0.313844855E+001       0.241061561E+001
       0.100017000E+002       0.385859213E+001       0.382813521E+001       0.368389160E+001       0.313846849E+001       0.241063236E+001
       0.100018000E+002       0.385860073E+001       0.382814496E+001       0.368390559E+001       0.313848844E+001       0.241064910E+001
       0.100019000E+002       0.385860933E+001       0.382815471E+001       0.368391958E+001       0.313850838E+001       0.241066585E+001
       0.100020000E+002       0.385861793E+001       0.382816446E+001       0.368393357E+001       0.313852833E+001       0.241068260E+001
       0.100021000E+002       0.385862653E+001       0.382817421E+001       0.368394756E+001       0.313854827E+001       0.241069935E+001
       0.100022000E+002       0.385863513E+001       0.382818396E+001       0.368396155E+001       0.313856822E+001       0.241071609E+001
       0.100023000E+002       0.385864372E+001       0.382819371E+001       0.368397554E+001       0.313858816E+001       0.241073284E+001
       0.100024000E+002       0.385865232E+001       0.382820346E+001       0.368398952E+001       0.313860810E+001       0.241074959E+001
       0.100025000E+002       0.385866091E+001       0.382821320E+001       0.368400351E+001       0.313862805E+001       0.241076633E+001
       0.100026000E+002       0.385866951E+001       0.382822295E+001       0.368401750E+001       0.313864799E+001       0.241078308E+001
       0.100027000E+002       0.385867810E+001       0.382823270E+001       0.368403148E+001       0.313866793E+001       0.241079983E+001
